id,noending_sentence,ending_sentence,noending_similarity,ending_similarity
35,"['fell', 'love', 'aliza', 'married']","['aliza', 'sad', 'never', 'contacted']",251.14313036203384,288.91976860165596
36,"['lina', 'knew', 'candy', 'canes', 'boring']","['lina', 'felt', 'new', 'appreciation', 'candy', 'canes']",255.51461013406515,303.65076807141304
37,"['threw', 'kickball', 'closed', 'window']",['friendly'],204.4517296627164,155.14416195452213
38,"['bev', 'got', 'mail', 'fed', 'fish', 'like', 'every', 'day']","['sunday', 'night', 'bev', 'exhausted']",247.86683821678162,329.5043105185032
39,"['never', 'cooked']","['became', 'better', 'cook']",392.56018126010895,270.3081527352333
40,"['walked', '5', 'growling', 'dogs', 'park', 'across', 'town']","['great', 'pizza', 'frank', 'pepe', 'pizza', 'shop']",183.16675421595573,216.30578023195267
41,"['bernice', 'went', 'europe', 'birthday']","['bernice', 'decided', 'get', 'airplane', 'ticket', 'reserve', 'room']",364.3119458556175,269.8094972074032
42,"['jim', 'thought', 'crazy', 'left']","['surprised', 'thankful']",232.35781833529472,156.7793073579669
43,"['randy', 'saw', 'house', 'kept', 'driving', 'come', 'back']","['randy', 'told', 'friend', 'relieved', 'found']",200.33156749606133,241.40744805335999
44,"['watching', 'brother', 'crash', 'fun']","['felt', 'badly', 'brother']",244.88332787156105,281.6707109808922
45,"['anna', 'really', 'liked', 'new', 'hairstyle']","['anna', 'felt', 'fashionable', 'left', 'salon']",219.60096648335457,250.00340563058853
46,"['sarah', 'david', 'went', 'go', 'get', 'dinner', 'right']","['sarah', 'glad', 'able', 'catch']",212.85171434283257,284.87325170636177
47,"['aj', 'began', 'feel', 'sad']","['aj', 'let', 'sigh', 'relief']",204.4447376728058,206.1545343697071
48,"['joe', 'hated', 'rock', 'music', 'afterwards']","['joe', 'happy', 'shirt', 'fit']",178.10953257977962,312.04951843619347
49,"['priya', 'decided', 'eat', 'left']","['priya', 'thought', 'food', 'delicious']",263.7076328098774,230.55054959654808
